transaction_number,stock_name,type,quantity
152,NFLX,sell,16
153,TSLA,buy,7
154,MSFT,sell,1
155,AMZN,sell,19
156,MSFT,buy,7
157,AMZN,sell,19
158,NFLX,sell,1
159,NFLX,buy,18
160,NFLX,buy,12
161,APPL,sell,6
162,APPL,buy,6
163,IBM,sell,8
164,APPL,buy,18
165,AMD,buy,1
166,GOOG,buy,20
167,AMZN,buy,20
168,MSFT,sell,8
169,AMD,sell,1
170,IBM,sell,7
171,NVDA,buy,11
172,APPL,buy,5
173,AMD,sell,7
174,NFLX,sell,17
175,NVDA,sell,15
176,APPL,buy,8
177,NFLX,sell,2
178,NVDA,sell,17
179,AMZN,buy,20
180,IBM,sell,18
181,GOOG,sell,2
182,NFLX,buy,10
183,IBM,sell,3
184,NFLX,sell,9
185,NFLX,buy,12
186,NVDA,buy,18
187,MSFT,buy,7
188,APPL,sell,11
189,TSLA,buy,18
190,APPL,buy,5
191,TSLA,sell,11
192,TSLA,buy,12
193,NFLX,buy,1
194,GOOG,buy,6
195,APPL,sell,19
196,GOOG,buy,2
197,TSLA,sell,20
198,AMD,buy,1
199,GOOG,buy,6
200,GOOG,sell,13
201,META,sell,4
202,GOOG,sell,2
203,META,buy,1
204,META,sell,17
205,NFLX,buy,13
206,NFLX,buy,6
207,MSFT,sell,14
208,NVDA,sell,8
209,APPL,sell,11
210,TSLA,buy,16
211,NFLX,buy,1
212,MSFT,buy,13
213,GOOG,buy,16
214,META,sell,10
215,META,sell,2
216,MSFT,buy,17
217,APPL,sell,10
218,GOOG,sell,6
219,NVDA,buy,20
220,MSFT,buy,12
221,NVDA,buy,9
222,APPL,sell,4
223,APPL,sell,6
224,META,sell,6
225,NFLX,buy,11
226,TSLA,sell,8
227,APPL,sell,17
228,NVDA,sell,11
229,TSLA,buy,2
230,TSLA,sell,4
231,AMD,buy,14
232,GOOG,buy,12
233,APPL,sell,11
234,AMZN,sell,17
235,AMD,buy,2
236,APPL,buy,9
237,GOOG,buy,7
238,NFLX,buy,12
239,AMZN,sell,17
240,AMD,sell,19
241,IBM,sell,13
242,AMZN,buy,11
243,TSLA,buy,5
244,NFLX,buy,3
245,AMD,buy,4
246,NVDA,sell,9
247,APPL,buy,17
248,AMD,sell,8
249,NVDA,sell,17
250,NVDA,sell,6
251,APPL,sell,7
252,APPL,sell,9
253,NFLX,sell,3
254,TSLA,sell,20
255,IBM,buy,19
256,AMD,buy,19
257,TSLA,buy,7
258,META,buy,20
259,AMZN,sell,10
260,MSFT,sell,14
261,MSFT,buy,11
262,GOOG,sell,8
263,GOOG,buy,9
264,GOOG,sell,17
265,AMD,sell,5
266,AMD,buy,14
267,NFLX,sell,10
268,AMD,buy,12
269,NFLX,sell,11
270,NVDA,sell,4
271,AMZN,sell,20
272,APPL,buy,15
273,NVDA,sell,15
274,NVDA,buy,19
275,NFLX,sell,18
276,META,sell,13
277,IBM,buy,10
278,TSLA,sell,5
279,NVDA,sell,13
280,GOOG,buy,8
281,NFLX,sell,3
282,META,buy,18
283,AMZN,sell,6
284,NVDA,buy,2
285,MSFT,buy,18
286,NVDA,buy,15
287,NVDA,sell,19
288,MSFT,sell,1
289,NVDA,sell,19
290,META,sell,13
291,IBM,sell,7
292,APPL,sell,13
293,GOOG,sell,19
294,APPL,sell,18
295,IBM,buy,8
296,APPL,buy,17
297,AMZN,sell,8
298,META,sell,19
299,NVDA,sell,3
300,GOOG,buy,5
301,APPL,sell,1
302,GOOG,buy,9
303,TSLA,buy,13
304,GOOG,sell,14
305,GOOG,buy,2
306,NVDA,sell,7
307,IBM,buy,16
308,NVDA,sell,18
309,MSFT,buy,13
310,APPL,sell,11
311,GOOG,sell,13
312,AMD,sell,18
313,MSFT,buy,1
314,GOOG,sell,15
315,IBM,sell,11
316,NVDA,buy,9
317,NVDA,sell,2
318,NVDA,sell,11
319,IBM,sell,17
320,AMZN,buy,11
321,META,sell,12
322,META,buy,12
323,AMD,sell,5
324,NVDA,sell,15
325,META,buy,7
326,NVDA,sell,10
327,NFLX,buy,1
328,META,sell,4
329,GOOG,buy,5
330,NFLX,sell,4
331,GOOG,sell,13
332,AMD,buy,5
333,IBM,sell,18
334,GOOG,sell,15
335,IBM,sell,10
336,AMD,buy,16
337,AMZN,sell,16
338,GOOG,buy,19
339,TSLA,sell,16
340,AMD,sell,6
341,IBM,sell,13
342,NFLX,buy,10
343,NVDA,sell,11
344,META,buy,2
345,APPL,sell,15
346,IBM,buy,4
347,IBM,buy,18
348,MSFT,buy,14
349,IBM,sell,13
350,MSFT,sell,8
351,AMZN,sell,11
352,META,buy,19
353,NFLX,sell,9
354,IBM,sell,16
355,MSFT,sell,15
356,NFLX,sell,3
357,TSLA,sell,11
358,TSLA,sell,10
359,AMZN,sell,11
360,MSFT,buy,3
361,NVDA,sell,5
362,APPL,buy,19
363,AMZN,buy,5
364,IBM,buy,16
365,NFLX,buy,16
366,TSLA,sell,3
367,GOOG,buy,6
368,NVDA,buy,17
369,AMD,sell,6
370,IBM,buy,7
371,GOOG,buy,8
372,IBM,sell,9
373,NVDA,buy,3
374,TSLA,buy,18
375,AMZN,sell,19
376,NVDA,buy,3
377,AMZN,sell,7
378,AMD,buy,10
379,NFLX,buy,11
380,NFLX,sell,8
381,AMZN,sell,6
382,AMZN,buy,16
383,META,buy,20
384,MSFT,buy,19
385,AMD,buy,6
386,TSLA,sell,14
387,AMD,sell,7
388,NVDA,sell,2
389,APPL,sell,12
390,TSLA,buy,9
391,META,buy,16
392,GOOG,sell,17
393,IBM,sell,9
394,TSLA,sell,20
395,IBM,sell,15
396,AMD,buy,3
397,IBM,buy,18
398,MSFT,buy,11
399,APPL,buy,19
400,MSFT,sell,1
401,GOOG,buy,20
402,APPL,buy,18
403,IBM,buy,12
404,NVDA,sell,11
405,TSLA,sell,8
406,AMZN,sell,6
407,NVDA,buy,8
408,APPL,sell,8
409,META,sell,5
410,IBM,buy,4
411,IBM,buy,18
412,MSFT,buy,7
413,NVDA,buy,8
414,AMZN,sell,10
415,MSFT,buy,13
416,APPL,buy,6
417,META,buy,15
418,NFLX,sell,11
419,APPL,buy,16
420,META,buy,10
421,IBM,buy,18
422,TSLA,buy,7
423,MSFT,sell,14
424,IBM,sell,13
425,NVDA,sell,4
426,MSFT,sell,1
427,IBM,buy,4
428,NFLX,sell,17
429,TSLA,buy,12
430,AMD,buy,13
431,NFLX,sell,17
432,AMZN,buy,9
433,META,sell,9
434,GOOG,buy,6
435,NVDA,sell,2
436,NFLX,sell,3
437,NFLX,buy,1
438,MSFT,sell,2
439,AMD,buy,3
