transaction_number,stock_name,type,quantity
443,AMD,buy,13
444,AMD,sell,17
445,MSFT,buy,15
446,NFLX,sell,7
447,AMZN,sell,7
448,APPL,sell,15
449,GOOG,sell,11
450,IBM,buy,10
451,NFLX,sell,16
452,MSFT,buy,5
453,NVDA,sell,11
454,AMD,sell,8
455,MSFT,sell,1
456,NVDA,buy,5
457,MSFT,buy,3
458,GOOG,buy,7
459,AMD,buy,9
460,NVDA,buy,18
461,AMZN,buy,12
462,APPL,buy,12
463,GOOG,sell,13
464,APPL,buy,9
465,APPL,sell,3
466,NFLX,sell,11
467,TSLA,sell,9
468,NFLX,buy,1
469,MSFT,sell,2
470,AMD,buy,3
