transaction_number,stock_name,type,quantity
87,GOOG,buy,16
88,NFLX,buy,16
89,NFLX,sell,5
90,NVDA,sell,3
91,MSFT,sell,1
92,AMZN,buy,5
93,APPL,buy,4
94,META,sell,3
95,META,buy,15
96,IBM,buy,13
97,TSLA,sell,17
98,META,sell,11
99,APPL,buy,18
100,TSLA,sell,1
101,APPL,sell,12
102,NVDA,buy,9
103,TSLA,sell,5
104,NVDA,sell,14
105,AMZN,buy,18
106,APPL,sell,18
107,NFLX,buy,1
108,AMD,sell,5
109,TSLA,buy,20
110,MSFT,buy,4
111,NFLX,buy,16
112,TSLA,sell,17
113,AMZN,sell,5
114,GOOG,sell,9
115,AMD,sell,4
116,AMD,buy,12
117,MSFT,sell,4
118,APPL,buy,13
119,NFLX,sell,18
120,TSLA,buy,16
121,APPL,buy,7
122,APPL,buy,15
123,META,sell,1
124,NVDA,sell,4
125,MSFT,buy,1
126,TSLA,buy,4
127,APPL,sell,8
128,GOOG,buy,15
129,NVDA,sell,14
130,META,sell,4
131,MSFT,buy,4
132,NVDA,sell,4
133,MSFT,buy,6
134,APPL,buy,4
135,TSLA,sell,13
136,IBM,buy,4
137,AMZN,buy,18
138,META,sell,1
139,MSFT,sell,3
140,AMD,sell,18
141,AMZN,buy,9
142,META,buy,10
143,MSFT,sell,13
144,NFLX,sell,16
145,GOOG,buy,18
146,TSLA,sell,1
147,AMD,buy,18
148,IBM,sell,4
149,MSFT,buy,11
150,META,sell,2
151,AMD,sell,5
152,AMZN,buy,19
153,NFLX,sell,16
154,META,sell,2
155,AMZN,sell,7
156,TSLA,sell,12
157,IBM,sell,17
158,GOOG,buy,16
159,APPL,sell,15
160,NFLX,sell,18
161,MSFT,sell,17
162,NVDA,sell,9
163,GOOG,sell,6
164,APPL,sell,11
165,NFLX,buy,13
166,GOOG,buy,4
167,TSLA,buy,3
168,NFLX,sell,1
169,TSLA,sell,3
170,NFLX,buy,6
171,GOOG,buy,18
172,APPL,buy,8
173,APPL,buy,9
174,GOOG,buy,13
175,TSLA,buy,6
176,MSFT,buy,11
177,MSFT,sell,10
178,AMD,sell,12
179,APPL,sell,5
180,META,sell,19
181,APPL,buy,20
182,TSLA,buy,17
183,AMZN,sell,15
184,MSFT,sell,7
185,GOOG,buy,6
186,GOOG,sell,18
187,META,sell,7
188,MSFT,buy,3
189,NFLX,sell,14
190,NFLX,buy,5
191,AMZN,buy,20
192,GOOG,sell,13
193,APPL,sell,4
194,TSLA,buy,17
195,AMD,buy,19
196,META,buy,20
197,AMD,sell,16
198,GOOG,sell,17
199,AMD,sell,13
200,AMZN,buy,3
201,TSLA,sell,6
202,IBM,buy,18
203,APPL,sell,6
204,NFLX,sell,1
205,META,sell,4
206,TSLA,buy,5
207,NVDA,buy,2
208,IBM,sell,5
209,META,sell,14
210,META,buy,19
211,NVDA,sell,8
212,NFLX,sell,5
213,TSLA,sell,2
214,AMD,buy,20
215,META,buy,5
216,NVDA,sell,11
217,AMZN,sell,4
218,GOOG,sell,8
219,META,buy,5
220,AMZN,sell,10
221,META,sell,5
222,TSLA,sell,5
223,MSFT,buy,4
224,NFLX,sell,8
225,NVDA,sell,17
226,AMD,buy,8
227,TSLA,sell,10
228,NVDA,sell,19
229,APPL,buy,16
230,IBM,sell,10
231,GOOG,buy,20
232,MSFT,sell,6
233,GOOG,sell,10
234,AMD,sell,16
235,AMZN,buy,11
236,NFLX,sell,10
237,IBM,buy,14
238,NFLX,buy,7
239,META,sell,15
240,TSLA,sell,12
241,NVDA,buy,2
242,NVDA,sell,7
243,AMD,sell,19
244,TSLA,sell,10
245,NFLX,buy,8
246,AMD,buy,13
247,AMD,buy,16
248,AMZN,sell,20
249,GOOG,sell,20
250,AMD,buy,1
251,AMD,sell,3
252,TSLA,buy,19
253,TSLA,buy,20
254,AMZN,sell,8
255,NFLX,sell,6
256,GOOG,sell,6
257,AMD,sell,11
258,META,sell,16
259,TSLA,buy,14
260,META,sell,19
261,NFLX,sell,13
262,APPL,sell,2
263,NVDA,buy,2
264,GOOG,buy,1
265,APPL,buy,16
266,IBM,buy,13
267,APPL,buy,4
268,GOOG,sell,12
269,AMD,sell,7
270,APPL,sell,8
271,META,buy,8
272,AMD,buy,18
273,NVDA,buy,19
274,AMZN,buy,5
275,TSLA,buy,9
276,GOOG,sell,7
463,NFLX,buy,1
464,MSFT,sell,2
465,AMD,buy,3
